client_id,style_id,style_name,outcome,champion_sample_id,distance,reason_if_skipped
rec0ewCugAt2fgWBI,recm7PpLM9wscuWmN,Nina,skipped,,,no active candidates
rec0ewCugAt2fgWBI,recWi6TRIL11ez5h6,Emerson,skipped,,,no active candidates
rec0ewCugAt2fgWBI,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec0ewCugAt2fgWBI,recBCfoFXP3p3VPvf,Sasha,skipped,,,no active candidates
rec0ewCugAt2fgWBI,recp1zqsQ7YlFNwyT,Ada DEV store,skipped,,,no active candidates
rec0fBBSWCJdQ3PdU,recjT7jwOh2tQ575m,Henrietta,skipped,,,no active candidates
rec0fBBSWCJdQ3PdU,reck4usoYPvUbGbkC,Leighton,skipped,,,no active candidates
rec0fBBSWCJdQ3PdU,recXpqvYda4Rac7bd,Lua,skipped,,,no active candidates
rec0fBBSWCJdQ3PdU,rect6GEvda51pdLdR,Mila,skipped,,,no active candidates
rec0fBBSWCJdQ3PdU,recE7PuEbafTFaecF,River,skipped,,,no active candidates
rec0ggZfbKSJX55Mr,rec7VZ0UTR9tIlXkx,Arabella - Linen Organza,skipped,,,no active candidates
rec0ggZfbKSJX55Mr,rec1IOfXF4lyD07ns,Augusta,skipped,,,no active candidates
rec0ggZfbKSJX55Mr,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec0ggZfbKSJX55Mr,rec3MbXkRuSAuRzBk,Everett,skipped,,,no active candidates
rec0ggZfbKSJX55Mr,rect6GEvda51pdLdR,Mila,skipped,,,no active candidates
rec0jHGKKiEkLTule,rec6M5LkSOEQFdtAH,Demi 7 DEV,skipped,,,no active candidates
rec0jHGKKiEkLTule,rec0MdmgAWj14dn9B,Ford,skipped,,,no active candidates
rec0jHGKKiEkLTule,recmIop2VHlnneufI,Jack,skipped,,,no active candidates
rec0jHGKKiEkLTule,recN2SWeARDQxLnWT,Milo,skipped,,,no active candidates
rec0jHGKKiEkLTule,recbFb9nHhoG7xIH9,Vivienne,skipped,,,no active candidates
rec0l2i9hdrAzYxPv,recc2leJaVZp0QmGL,Camille,skipped,,,no active candidates
rec0l2i9hdrAzYxPv,recq1utqhe10lgOkS,Sutton,skipped,,,no active candidates
rec0l2i9hdrAzYxPv,rec1ttlejT9zBBbe6,Tabitha,skipped,,,no active candidates
rec0l2i9hdrAzYxPv,recuBEHazg3gnJYlp,Viola,skipped,,,no active candidates
rec0l2i9hdrAzYxPv,recS4QvPmAGvbhbN3,Winnie,skipped,,,no active candidates
rec0lDpsYtSyhLoH7,recovBQ8QyEFnCh7O,Ada,skipped,,,no active candidates
rec0lDpsYtSyhLoH7,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec0lDpsYtSyhLoH7,rec6f6SNp2DLy815z,Josephine,skipped,,,no active candidates
rec0lDpsYtSyhLoH7,recm7PpLM9wscuWmN,Nina,skipped,,,no active candidates
rec0lDpsYtSyhLoH7,recBCfoFXP3p3VPvf,Sasha,skipped,,,no active candidates
rec0lDpsYtSyhLoH7,recp1zqsQ7YlFNwyT,Ada DEV store,skipped,,,no active candidates
rec0m6y71lhvGiGIz,recNhH6be6YDdVWH3,Arlo,skipped,,,no active candidates
rec0m6y71lhvGiGIz,rec92qrBHhyLNul3Z,Clara Tulle,skipped,,,no active candidates
rec0m6y71lhvGiGIz,recdTdSlcrOfInrXu,Dylan,skipped,,,no active candidates
rec0m6y71lhvGiGIz,recE7PuEbafTFaecF,River,skipped,,,no active candidates
rec0mAKMijWNMPLSa,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec0mAKMijWNMPLSa,recWi6TRIL11ez5h6,Emerson,skipped,,,no active candidates
rec0mAKMijWNMPLSa,recjT7jwOh2tQ575m,Henrietta,skipped,,,no active candidates
rec0mAKMijWNMPLSa,receEksBNAOuj8tGZ,Liz,skipped,,,no active candidates
rec0mAKMijWNMPLSa,recB7Otkun8htDdzj,Marlow,skipped,,,no active candidates
rec0mKOtq5q5ROD48,recMzRkBWxwd5nfgG,Adena,skipped,,,no active candidates
rec0mKOtq5q5ROD48,recwleLHp6mQDhZBF,Esme,skipped,,,no active candidates
rec0mKOtq5q5ROD48,rec3MbXkRuSAuRzBk,Everett,skipped,,,no active candidates
rec0mKOtq5q5ROD48,reck4usoYPvUbGbkC,Leighton,skipped,,,no active candidates
rec0mKOtq5q5ROD48,recAp0iFg1W5Z2MPz,Pia,skipped,,,no active candidates
rec0n7ZzuNtmmrZVP,recRXkPa4ScAEvkW9,Anika Bustier Cotton Twill,skipped,,,no active candidates
rec0n7ZzuNtmmrZVP,recc2leJaVZp0QmGL,Camille,skipped,,,no active candidates
rec0n7ZzuNtmmrZVP,rec8XFdAbiTNzvDLV,Drew,skipped,,,no active candidates
rec0n7ZzuNtmmrZVP,reck4usoYPvUbGbkC,Leighton,skipped,,,no active candidates
rec0n7ZzuNtmmrZVP,recm7PpLM9wscuWmN,Nina,skipped,,,no active candidates
rec0nzeJOoDFzcAsn,recRXkPa4ScAEvkW9,Anika Bustier Cotton Twill,skipped,,,no active candidates
rec0nzeJOoDFzcAsn,rec6M5LkSOEQFdtAH,Demi 7 DEV,skipped,,,no active candidates
rec0nzeJOoDFzcAsn,recA3qrQc5c5e9jaT,Rory,skipped,,,no active candidates
rec0nzeJOoDFzcAsn,recgJvYcfu5VJRFR4,Veda - Linen Organza,skipped,,,no active candidates
rec0nzeJOoDFzcAsn,recbFb9nHhoG7xIH9,Vivienne,skipped,,,no active candidates
rec0oOgvrR5vOUgWS,recNhH6be6YDdVWH3,Arlo,skipped,,,no active candidates
rec0oOgvrR5vOUgWS,reccTD1EBVjXXQDJe,Ramona,skipped,,,no active candidates
rec0oOgvrR5vOUgWS,recUHhPlkibyIYgRd,Raphaella,skipped,,,no active candidates
rec0oOgvrR5vOUgWS,recBCfoFXP3p3VPvf,Sasha,skipped,,,no active candidates
rec0oOgvrR5vOUgWS,recAgkJZLkOXQUDrM,Wren,skipped,,,no active candidates
rec0qS2eUMDniXVoC,recNhH6be6YDdVWH3,Arlo,skipped,,,no active candidates
rec0qS2eUMDniXVoC,recFogTsZskrWXOaz,Collins,skipped,,,no active candidates
